"","ID_2","X_1","Y_1"
"137",138,-91.9906148126806,30.1840469192313
"138",139,-90.2629622670013,29.9834407947302
"139",140,-93.7660678466731,32.4818308428158
"140",141,-93.8636477108252,32.4506298508098
"141",142,-97.4247344464274,35.435248194003
"142",143,-97.0513806756803,36.1066549773976
"143",144,-111.948707,41.038347
"144",145,-111.883553882231,40.5806657313569
"145",146,-98.6586940754885,35.5363120065523
"146",147,-97.4610402548638,35.247104422179
"147",148,-95.4085277509759,30.3318685875361
"148",149,-111.988250042331,40.5878642538142
"149",150,-111.658360742073,33.3297379257048
"150",151,-97.5840627825491,35.4642487116243
"151",152,-92.4104304334929,35.0912564554023
"152",153,-112.279514969418,38.1643794677972
"153",154,-98.4018322391549,34.7130288184752
"154",155,-111.77813911236,32.8794311797753
"155",156,-110.960096375823,32.1779080069921
