"","LONGITUDE","LATITUDE","NAME","ADDRESS","ID","AADTT","FLEET","ID_2"
"122",-93.136929,35.251042,"Indie Truck Stop","PDQ - South
AR7 and AR326, 2750 S Arkansas Ave
Russellville AR
Phone:72801

","121",680,0,"482"
"123",-93.092077,35.283825,"Indie Truck Stop","Hob Nob Shell
I-40 Ex 84, 20 Bradley Cove Rd
Russellville AR
Phone:72801

","122",8004,0,"483"
"124",-93.092244,35.280423,"Pilot Travel Center","Pilot Travel Center
I-40 Exit 84, 215 SR 331 North
Russellville AR
Phone:72802

","123",8004,0,"484"
"125",-91.698852,35.234363,"Indie Truck Stop","Flash Market
US67/US167/US64 Ex 45, 1250 Truman Baker Dr
Searcy AR
Phone:72143

","124",4650,0,"485"
"126",-91.715823,35.218347,"Loves Travel Stop","Loves Travel Stop
Hwy 367 Exit 44
Searcy AR
Phone:72143

","125",4189,0,"486"
"127",-92.720973,33.339368,"Indie Truck Stop","Sumac Mart
4374 Smackover Highway
Smackover AR
Phone:71762

","126",974,0,"487"
"128",-94.257369,36.176899,"Indie Truck Stop","Braich Arrow Express
1298 W Henri De Tonti Blvd
Springdale AR
Phone:72762

","127",2493,0,"488"
"129",-94.19314,36.17576,"Pilot Travel Center","Pilot Travel Center
US 412 & 71 Bypass, 5660 West Sunset Avenue
Springdale AR
Phone:72762

","128",5549,0,"489"
"130",-92.347551,33.104495,"Indie Truck Stop","Teddy Bears
US82 and Hwy 275, 9753 US82 E
Strong AR
Phone:71765

","129",495,0,"490"
"131",-91.557726,34.509613,"Indie Truck Stop","Valero
901 North Buerkle Street
Stuttgart AR
Phone:72160

","130",846,0,"491"
"132",-93.9481,33.51306,"Flying J Travel Plaza","Flying J Travel Plaza
I-30 Exit 7, 8300 State Highway 108, I30 & Hwy 108
Texarkana AR
Phone:71854

","131",12096,0,"492"
"133",-94.009539,33.474307,"Indie Truck Stop","Camp 1-30 Truck Stop
I-30 Ex 2, 3115 E 54th St
Texarkana AR
Phone:75504

","132",16050,0,"493"
"134",-94.007703,33.477384,"Indie Truck Stop","Circle K
I-30 Ex 2, 5707 Loop 245
Texarkana AR
Phone:71854

","133",16050,0,"494"
"135",-90.549906,35.677718,"Indie Truck Stop","Flash Market
US63 Ex 29 (AR69), 1727 Highway 69 Blvd
Trumann AR
Phone:72472

","134",24,0,"495"
"136",-90.524678,35.67937,"Indie Truck Stop","Mapco Express
600 Highway 463 S
Trumann AR
Phone:72472

","135",24,0,"496"
"137",-90.280561,35.364005,"Indie Truck Stop","Snappy Mart 23
I-55 Ex 21 (Hwy 42), 14743 Interstate 55
Turrell AR
Phone:72384

","136",330,0,"497"
"138",-94.179399,35.933253,"Indie Truck Stop","E-Z Mart 432
US 71, 54 N Centennial Ave
West Fork AR
Phone:72774

","137",3002,0,"498"
"139",-90.718313,34.554861,"Indie Truck Stop","Wycamp Truck Stop
US49, 3053 Highway 49
West Helena AR
Phone:72390

","138",1841,0,"499"
"140",-90.143532,35.153489,"Flying J Travel Plaza","Flying J Travel Plaza
I-40 Exit 280/I-55 Exit 4, 3400 Service Loop Road
West Memphis AR
Phone:72301

","139",14574,0,"500"
"141",-90.137481,35.154047,"Loves Travel Stop","Loves Travel Stop
I-40, Exit 280, 800 Martin Luther King Dr.
West Memphis AR
Phone:72301

","140",16011,0,"501"
"142",-90.135098,35.154863,"Petro Center","Petro Center
I-40, Exit 280; I-55, Exit 4, 3900 Petro Rd
West Memphis AR
Phone:72301

","141",16011,0,"502"
"143",-90.137179,35.15774,"Pilot Travel Center","Pilot Travel Center
I-40 Exit 280, 1100 Martin Luther King Boulevard
West Memphis AR
Phone:72301

","142",16011,0,"503"
"144",-91.108556,34.927271,"Indie Truck Stop","Pit Stop Diner
I-40 Ex 221 (Hwy 78), 1073 Route 78 N.
Wheatley AR
Phone:72392

","143",12600,0,"504"
"145",-91.108566,34.931931,"Indie Truck Stop","Sweet Peas Truck Stop
I-40 Ex 221 (Hwy 78), 1395 Highway 78 N
Wheatley AR
Phone:72392

","144",12600,0,"505"
"146",-91.108574,34.931472,"Indie Truck Stop","Mapco Express
I-40 Ex 221 (Hwy 78), 1030 Hwy 78
Wheatley AR
Phone:72392

","145",12600,0,"506"
"147",-92.101818,34.260402,"Indie Truck Stop","Big Red Big Jims
8110 Sheridan Road
White Hall AR
Phone:71611

","146",2494,0,"507"
"148",-90.78063,35.253009,"Indie Truck Stop","Wynne Truck Plaza
US64 and AR1, 700 Highway 64 E
Wynne AR
Phone:72396

","147",1407,0,"508"
"149",-105.858041,37.472373,"Indie Truck Stop","Broadway Service
138 Broadway Avenue
Alamosa CO
Phone:81101

","440",685,0,"509"
"150",-105.856704,37.473163,"Indie Truck Stop","Loaf n Jug
6988 State Highway 17
Alamosa CO
Phone:81101

","441",948,0,"510"
"151",-105.900844,37.478421,"Indie Truck Stop","Stop N Shop
7565 U.S. 160
Alamosa CO
Phone:81101

","442",1275,0,"511"
"152",-103.261432,40.501661,"Indie Truck Stop","Atwood Sinclair
4513 Highway 63
Atwood CO
Phone:80722

","443",1925,0,"512"
